Date,Time,Location,Operator,Flight..,Route,Type,Registration,cn.In,Aboard,Fatalities,Ground,Survivors,SurvivalRate,Summary,ClustID
12/3/90,13:45,"Romulus, Michigan",Northwest Airlines/ Northwest Airlines,299/1482,Detroit - Pittsburg,Boeing B-727-251 / MD Douglas DC-9-14,N278US/N3313L,21157 / 45708/77,198,8,0,190,0.95959596,Ground collision in dense fog. The 727 was on its takeoff roll when the DC-9 taxied onto the active runway. Improper crew coordination aboard the DC-9.  Failure to stop and alert ATC of positional uncertainty. Eight killed aboard the DC-9. None aboard the B-727.,Low Fatality
3/21/91,,"Ras-al-Mishab, Saudi Arabia",Military - Royal Saudi Air Force,,,Lockheed C-130H,469,4754,98,98,0,0,0,Crashed while attempting to land in poor visibility caused by oil fires during the Persian Gulf War.,High Fatality
5/23/91,13:06,"Leningrad, USSR",Aeroflot,,Sukhumi - Leningrad,Tupolev TU-154B-1,CCCP-85097,97,181,13,0,168,0.928176796,"Undershot the runway and broke in half after a hard landing. Crew error. A rapid rate of descent, leading to landing gear failure. The accident happened durining daylight in a rain shower.",Low Fatality
5/26/91,23:17,"Near Ban Nong Rong, Thailand",Lauda Air,4,"Bangkok - Wien, Austria",Boeing B-767-3Z9ER,OE-LAV,24628/283,223,223,0,0,0,"Twelve minutes after takeoff the crew received a visual REV ISLN advisory warning which indicated that an additional system failure may cause deployment of the No. 1 engine thrust reverser. No action was taken since the manual indicated 'No Action Required'. Just before reaching FL 310 during a climb, there was an uncommanded deployment of the No. 1 engine thrust reverser. The aircraft stalled, when into a steep high speed dive, broke apart at 4,000 feet and crashed into the jungle 70 miles northwest of Bangkok. Failure of the reverse thrust isolation valve. Following the accident Boeing made modifications to the thrust reverser system. The aircraft was named Wolfgang Amadeus Mozar",High Fatality
7/11/91,8:40,"Jeddah, Saudi Arabia",Nationair (chartered by Nigeria Airways),2120,Jeddah - Sokoto,McDonnell Douglas DC-8 Super 61,C-GMXQ,45982/345,261,261,0,0,0,"After taking off, fire was reported in the landing gear well. The aircraft crashed while trying to return to the airport. Loss of hydraulics and electrical systems after a fire, started in the wheel when two tires disintegrated due to under inflation of one tire. This caused a fire which ignited years of accumulated flammables in the DC-8's wheel well leading to an uncontroable fire. The plane was allowed to leave with an under inflated tire. Twenty minutes prior to departure, the Nationair lead mechanimade a request for nitrogen to inflate the low tire. Nitrogen was not readily available and a delay would probably have occur procuring it. The Nationair project manager, without conferring with the flight crew, released the plane.",High Fatality
8/16/91,1:55,"Imphal, India",Indian Airlines,257,Calcutta - Imphal,Boeing B-737-2A8,VT-EFL,21497,69,69,0,0,0,Crashed into high ground during approach to Imphal. The crew failed to follow the correct approach course.,High Fatality
10/5/91,15:00,"Condet, Indonesia",Military - Indonesian Air Force,,,Lockheed C-130H-30,A-1324,4927,135,134,1,1,0.007407407,The aircraft crashed into buildings during an attempted emergency landing after an engine caught fire shortly after taking off.,High Fatality
12/27/91,8:51,"Stockholm, Sweden",Scandinavian Airlines (SAS),751,Stockholm-Copenhagen-Warsaw,MDonnell Douglas MD-81,OY-KHO,53003,129,0,0,129,1,"The aircraft reached an altitude of 3,000 feet and then made an emergency descent, clipping trees and made a belly landing in a field, breaking into 3 parts but staying together. Failure of both engines. Improper deicing of the aircraft led to chunks of ice breaking off and being ingested into both engines, leading to engine failure.  The crew was not trained to recognize and correct engine surges, which occurred when the ice struck the engines.The aircraft was named Dana Viking.",Low Fatality
1/20/92,19:20,"Mt. Saint-Odile, near Strasbourg, France",Air Inter,148,Lyon - Strasbourg,Airbus A320-111,F-GGED,15,96,87,0,9,0.09375,"The aircraft hit a mountain while on approach to Strasbourg. Design deficiencies with the mode selector switch. An incorrectly set flight control system resulted in an excessive rate of descent that went undetected.  The crew inadvertently selected 3,300 fpm descent rate on approach instead of 3.3 degree flight path angle.",High Fatality
7/24/92,16:30,"Mt. Lalaboy,  Indonesia",Mandala Airlines,,Jakarta - Surabaya - Ujung Pandang - Ambon,Vickers Viscount 816,PK-RVU,434,70,70,0,0,0,"Crashed into Mt. Lataboy at 2,800 ft. during an approach to Ambon in a severe rainstorm.",High Fatality
9/28/92,14:30,"Near  Kathmandu, Nepal",Pakistan International Airlines,268,Karachi - Kathmandu,Airbus A300B4-203,AP-BCP,25,167,167,0,0,0,"The plane hit cloud covered high ground while attempting to land, 9 nm short of the runway at Bhattedanda hill. The pilot began the descent too early and had miscalculated the aircraft's altitude. Failure of the crew to follow prescribed procedures.",High Fatality
7/30/92,17:41,"JFK Airport, New York, New York",Trans World Airlines,843,New York City - San Francisco,Lockheed L-1011,N11002,1014,292,0,0,292,1,"Immediately after liftoff, the stick shaker activated. The takeoff was aborted but the aircraft ran off the runway and caught fire. A defective stall warning system. A design flaw that allowed the defective stall warning system to go undetected. Failure of TWA's maintenance program to correct a repetitive malfunction of the stall warning system, and inadequate crew coordination between the captain and first officer that resulted in their inappropriate response to a false stall warning.",Low Fatality
7/31/92,12:45,"Near Kathmandu, Nepal",Thai Airways,311,Bangkok - Kathmandu,Airbus A310-304,HS-TID,438,113,113,0,0,0,"After experiencing difficulty in deploying the flaps while approaching Katmandu, the landing was aborted.  The ATC did not have radar service. After some confusing exchanges between the tower and the aircraft, the crew headed north instead of south to begin its second approach. The aircraft flew into a near vertical mountain wall at 240 knots. In the final seconds, the captain assessed the Ground Proximity Warning System warning as false. The accident was caused by a combination of occurrences, errors and actions by both the crew and ATC. The initial problem with the flaps, the lack of radar service, a misread chart by the crew, communication difficulties and the use of non-standard phraseology among other items led to the accident.",High Fatality
7/31/92,15:12,"Nanjing, Jiangsu, China",China General Aviation Corporation,7552,Nanjing - Xiamen,Yakovlev YAK-42D,B-2755,2116644,126,108,0,18,0.142857143,"The aircraft failed to gain altitude after lift-off, touched down again and overran the runway bursting into flames 2,000 feet past the runway. Possible engine failure.",High Fatality
8/27/92,22:44,"Near Ivanovo, Russia",Aeroflot,2808,Donetsk - Ivanovo,Tupolev TU-134A,CCCP-65058,49868,84,84,0,0,0,The aircraft crashed 1.5 miles from the airport during approach. Poor landing coordination by the flight crew.,High Fatality
9/26/92,18:00,"Near Lagos, Nigeria",Military - Federal Nigerian Air Force,,Lagos - Kaduna,Lockheed C-130H,NAF911,4624,158,158,0,0,0,"The aircraft attempted to ditch into a canal after two engines failed on takeoff. After a third engine failed, the aircraft crashed into a marsh. Fuel contamination.",High Fatality
11/24/92,7:52,"Near Liutang, Guangxi, China",China Southern Airlines,3943,Guangzhou - Guilin,Boeing B-737-3Y0,B-2523,24913,141,141,0,0,0,"The aircraft crashed into a 7,000 ft. mountain, 15 miles from the airport while on apporach. Malfunction of the thrust lever which caused a loss of control of the aircraft.",High Fatality
12/21/92,7:53,"Faro, Algarve, Portugal",Martinair Holland NV,495,Amsterdam - Faro,McDonnell Douglas DC-10-30CF,PH-MBN,46924,340,56,0,284,0.835294118,"While attempting a second landing in high winds, during a storm, the aircraft's wing tip hit the runway resulting in the aircraft departing the runway and causing a fuel tank to explode. The high rate of descent in the final phase of the approach and the landing made on the right landing gear which exceeded the structural limitations of the aircraft.The crosswind, which exceeded the aircrafts limits and which occurred in the final phase of the approach and during landing. The combination of both factors caused stresses which exceeded the structural limitations of the aircraft.",Low Fatality
12/22/92,10:00,"Tripoli, Libya",Libya Arab Airlines / Military -  Libya Air Force,1103,Benghazi - Tripoli,Boeing B-727-2L5 / MiG23UB,5A-DIA,21050/1108,157,157,0,0,0,"Midair collision with an Libyan Air Force fighter at 3,500 ft.",High Fatality
2/8/93,14:15,"Near Tehran, Iran",Iran Air Tours  /  Military - Iranian Air Force,,Tehran - Khoram,Tupolev TU-154M / Sukhoi Su-24,EP-ITD,903,133,133,0,0,0,Midair collision with an Iranian Air Force fighter while taking off. One hundred thirty-one killed on the Tupolev and one killed on the Su-24.,High Fatality
3/5/93,11:12,"Skopje, Macedonia",Palair Macedonian,301,Skopje - Zürich,Fokker 100,PH-KXL,11393,97,83,0,14,0.144329897,"The aircraft shuttered violently after takeoff,  rolled to the left, then right and crashed. Icing. Loss of roll controllability due to contamination on the wings with ice. Failure to de-ice the plane before taking off.",High Fatality
4/6/93,1:10,"950 nm S of  Shemya, Alaska",China Eastern Airlines,583,Shanghai - Los Angeles,McDonnell Douglas MD-11,B-2171,48495/461,264,2,0,262,0.992424242,"The slats were inadvertently deployed while at FL 330. The aircraft progressed through several pitch oscillations and lost 5,000 feet in altitude. Inadequate design of the flap/slat actuation handle that allowed the handle to be easily and inadvertently dislodged from the UP/RET position, thereby causing extension of the leading edge slats during cruise flight.",Low Fatality
4/26/93,13:00,"Aurangabad, India",Indian Airlines,491,Aurangabad - Bombay,Boeing B-737-2A8,VT-ECQ,20961/375,118,56,0,62,0.525423729,"During take off, the aircraft failed to climb and struck a vehicle on a publiroad just beyond the end of the runway. The aircraft was substantially damaged and the pilot elected to carry out a forced landing. During the attempted landing, the aircraft struck powerlines, crashed and burned.",High Fatality
4/27/93,,"Near Kholm, Afghanistan",Military - Afghan Republican Air Force,,Kabul - Mazar-i- Sharif,Antonov AN-32,,,76,76,0,0,0,"Crashed into a hill in poor visibility, low clouds and fog.",High Fatality
5/19/93,15:04,"Near Medellin, Colombia",SAM Colombia,501,Panama City - Medellin,Boeing B-727-46,HK-2422X,18876/217,132,132,0,0,0,"The plane hit Mt. Paramo Frontino at 12,300 ft. while on approach to Maria Cordova Airport. Errors by the crew and the ATC. The aircraft descended into mountainous terrain before actually reaching the Abejorral NDB beacon. The VOR/DME had been sabotaged by terrorists and not in service.",High Fatality
7/23/93,15:40,"Yinchuan, China",China Northwest Airlines,2119,Yinchuan - Beijing,British Aerospace 146-300,B-2716,E-3215,113,55,0,58,0.513274336,The aircraft crashed into a lake after it was unable to get airborne while attempting to takeoff. Mechanical failure. Flaps selected but did not extend.,High Fatality
7/26/93,15:48,"Haenam, South Korea",Asiana Airlines,733,Seoul - Mokpo,Boeing B-737-5L9,HL-7229,24805/1878,110,68,0,42,0.381818182,The aircraft hit Mt. Ungeo at 800 ft. while on approach after two missed landing attempts in high winds and heavy rain. Captain's decision to land in weather that had fallen below minima.,High Fatality
